TotalGHGEmissions
249.98
249.09
12.91
65.2
249.46
48.13
67.45
1.68
30.61
13.67
588.25
3.8
51.14
78.22
208.26
13.27
457.51
64.51
144.79
72.69
31.43
23.52
197.19
89.53
185.23
108.05
4.48
388.37
12.17
232.12
22.33
36.24
9.76
28.05
17.51
43.63
24.76
63.06
24.91
30.03
6.11
346.62
158.6
13.72
58.28
57.25
201.05
3.39
429.12
247.97
96.15
16.48
1.67
710.7
95.93
69.77
526.85
1468.5
216.43
6.76
42.65
9.71
1990.5
69.01
13.25
49.25
28.57
59.19
83.7
86.02
43.84
639.72
34.14
78.19
124.59
16.67
41.06
154.17
14.19
222.19
32.8
247.35
53.57
393.29
63.22
3278.11
18.54
203.21
27.24
30.35
18.16
30.79
65.56
14.81
429.27
193.36
42.71
73.47
31.94
3768.66
120.86
226.06
39.5
73.58
40.42
31.58
175.46
50.32
14.99
76.68
477.87
20.29
8.44
13.97
57.21
1.12
38.55
0.87
95.54
23.85
6.35
44.28
3.93
38.57
34.61
449.59
12.48
290.57
80.32
49.53
104.26
71.23
128.73
130.69
423.57
7.56
1.51
54.27
163.83
13.91
6.69
29.4
5.67
793.05
53.25
530.66
48.35
18.87
62.94
38.78
149.93
65.3
61.68
13.29
23.59
119.34
1110.07
3.73
87.98
15.35
9.24
191.97
3995.45
349.07
44.26
1921.82
46.9
21.46
101.5
19.82
260.32
227.18
49.79
147.75
148.11
328.63
42.45
17.38
627.87
50.55
30.52
12.89
28.58
619.9
111.23
77.48
157.77
392.16
49.12
56.04
29.7
50.67
10.04
222.78
213.23
38.52
3.58
4.22
208.53
549.11
13.75
11.02
6.3
26.11
29.82
38.48
3.0
94.85
297.43
318.97
6.46
530.62
68.39
142.36
225.19
1699.45
6.04
62.23
242.36
20.1
67.52
24.42
9.46
44.35
20.96
1.86
9.23
45.33
4906.33
6.14
27.17
23.9
44.27
734.72
103.57
26.34
37.61
49.62
46.26
2.82
255.83
8.49
41.8
33.8
47.98
143.34
35.11
44.26
19.43
13.86
16.59
119.03
68.06
51.39
11.73
9.25
34.04
25.58
1.7
7.52
104.74
24.88
61.25
120.72
134.57
188.67
16.57
0.64
1019.53
32.09
49.28
225.67
309.6
221.51
511.39
391.7
133.8
14.49
537.03
364.27
130.73
20.76
691.26
81.18
127.1
9.47
152.76
25.53
94.64
14.49
184.09
33.52
1.59
9.5
12307.16
94.64
26.56
298.91
99.15
27.39
162.45
328.83
2.82
34.15
36.61
24.35
34.26
28.85
22.29
28.79
193.94
3.94
132.6
4.45
295.48
126.78
